duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
9.65,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.65,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.65,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.75,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.75,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
9.78,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.78,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
9.83,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.85,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
9.97,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
10.02,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.02,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.1,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.12,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.12,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.12,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
10.12,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.13,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.17,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
10.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.2,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.2,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
10.23,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
10.25,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.33,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
10.35,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
10.38,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
10.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.43,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.45,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.48,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.55,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.62,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.62,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.63,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.63,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.67,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.68,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
10.7,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
10.72,2013-08-29,2013,08,29,3,San Jose,San Jose,Customer
10.73,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.75,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.77,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.83,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.83,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.9,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.95,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
10.98,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.02,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.03,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
11.05,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.07,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.1,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.13,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.18,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.2,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.23,2013-08-29,2013,08,29,3,San Jose,San Jose,Subscriber
11.27,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.28,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.3,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.32,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.32,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.32,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
